temp,humidity
76.35,80
75.83,82
75.47,83
74.89,83
75,82
75.18,82
75.15,81
75.36,80
74.86,81
74.66,80
74.73,80
74.71,80
74.88,80
74.71,80
75.49,79
75.9,79
76.87,77
79.29,74
80.22,74
82.2,71
82.96,70
83.35,69
83.39,67
81.72,66
79.45,71
77.76,77
76.35,82
75.47,82
74.05,83
72.93,83
72.16,82
58.69,75
50.85,78
44.92,78
43.86,74
41.29,75
38.57,74
35.74,76
32.47,71
32.41,72
33.64,66
35.33,61
36.21,59
37.98,57
39.42,54
41,54
42.26,54
41.85,54
40.82,56
39.74,57
39.29,57
38.71,59
38.12,61
37.51,63
36.7,64
35.8,66
34.88,68
34.2,69
33.4,69
33.57,69
33.22,68
33.37,67
33.98,66
37.09,65
41.29,57
43.79,50
45.79,45
48.47,40
50.52,37
51.91,35
52.72,34
52,35
49.15,43
47.77,43
46.45,47
45.68,44
43.95,52
38.3,45
45.88,44
43.18,63
41.5,73
41.27,75
42.28,74
43.18,71
43.05,69
41.95,69
42.82,68
46.47,71
52.32,63
57.88,60
60.48,61
62.82,60
64.24,57
65.48,57
65.3,59
64.76,61
62.76,63
61.21,67
59.97,71
58.8,75
58.05,78
57.6,81
57.54,82
58.26,83
57.18,86
55.87,87
55.49,88
55.78,88
55,89
54.79,88
55.02,90
59.83,88
64.2,79
69.67,74
72.28,69
74.57,63
75.94,60
76.48,56
76.08,56
74.55,60
72.52,65
68.81,75
66.81,82
65.32,85
64.6,85
63.97,85
63.45,85
64.2,85
63.3,86
61.81,86
61.81,86
62.08,90
63.37,94
63.9,89
64.56,88
64.71,87
65.39,85
66.29,80
68.88,73
68.67,71
67.28,70
68.54,61
69.03,50
67.17,48
64.27,48
60.19,53
56.43,59
53.67,58
51.69,58
49.35,58
47.41,60
45.66,63
44.33,66
43.12,69
41.97,73
41.36,77
40.62,79
39.83,80
39.02,81
39.31,81
40.55,79
42.6,77
45.16,78
46.72,66
47.25,72
47.3,76
51.08,75
51.28,77
51.12,78
50.83,79
50.85,78
50.79,78
50.65,78
51.26,78
52.05,80
52.93,83
55.08,85
55.62,87
55.8,87
56.5,88
57.81,88
58.93,90
60.21,90
61.61,90
61.61,90
62.94,90
62.94,90
64.26,90
64.26,90
67.12,88
67.12,88
72,80
72,80
72.84,86
72.84,86
74.43,82
74.43,82
74.21,83
74.21,83
73.08,87
73.08,87
72.81,88
72.81,88
72.61,86
72.61,86
72.57,87
72.79,87
72.93,87
73.27,87
73.27,87
73.2,86
73.2,86
72.79,86
72.79,86
72.93,83
72.93,83
72.97,82
72.97,82
72.77,82
72.77,82
72.57,83
72.16,83
72.12,83
71.8,86
71.49,87
71.49,87
71.1,87
71.1,87
72.18,87
72.99,85
72.82,85
72.9,81
73.49,79
73.49,79
73.22,75
73.22,75
71.98,70
68.32,69
61.56,71
58.71,80
58.21,83
56.82,83
55.81,82
55.67,82
55.49,83
55.09,83
54.72,84
53.96,86
53.51,82
52.79,79
50.25,70
48.2,68
47.16,67
47.71,64
50.45,56
53.04,49
55.89,43
58.5,39
58.95,36
59.31,36
58.57,37
57.33,38
54.93,40
53.64,41
52.03,41
49.86,45
49.1,45
48.36,47
47.55,49
46.49,51
45.12,56
44.22,58
44.38,59
44.13,60
43.09,63
43.07,62
42.87,62
45.19,56
48.18,49
52,44
53.46,42
54.72,41
56.46,40
57.04,38
55.92,40
55.63,43
54.61,45
53.78,47
53.2,49
52.2,53
51.94,55
51.6,57
50.63,63
50.16,66
49.86,68
50.16,67
50.11,66
50.2,68
49.73,72
49.77,74
50.23,72
50.7,70
51.67,70
53.06,66
55.45,63
58.57,58
61.21,57
61.3,56
61.65,55
61,56
59.85,60
58.77,63
56.89,67
54.5,72
52.18,77
51.39,78
50.11,81
49.39,82
48.67,84
49.39,79
48.6,81
48.9,80
46.53,85
47.26,86
47.41,87
52.36,81
57.49,75
61.88,61
65.17,56
67.75,49
70.12,44
70.97,43
70.84,42
70.32,41
66.9,46
61.93,54
63,52
62.94,49
63.01,46
61.11,50
60.94,48
47.75,66
47.43,71
48.11,54
45.82,49
42.62,81
42.42,76
42.48,76
56.26,55
56.97,68
62.37,68
66.83,63
70.23,55
72.48,51
74.25,46
74.71,45
74.43,47
72.63,52
69.82,60
67.01,67
64.69,75
63.25,81
61.93,84
60.82,86
60.13,89
60.58,88
61.12,85
61.14,84
61.39,85
59.86,79
54.84,61
51.4,63
49.08,65
47.1,61
47.14,58
48.18,56
48.81,50
49.37,46
49.51,44
49.82,42
48.4,41
47.1,41
45.48,43
43.83,45
42.84,46
41.92,47
39.88,50
38.79,54
37.83,56
37,58
36.66,60
35.87,62
35.76,65
35.24,68
34.83,70
34.79,70
35.74,70
38.1,68
41.77,64
45.55,61
49.14,58
51.58,54
53.71,52
55.36,50
55.6,48
55.6,49
53.13,52
49.82,58
47.93,63
48.69,60
48.54,56
48.31,56
38.68,75
38.59,70
38.55,65
37.42,81
34.34,75
35.22,75
35.02,75
35.31,75
37.76,51
48.11,68
54.63,56
59.14,44
62.42,38
64.4,32
65.95,30
67.39,29
67.17,28
65.91,30
62.56,36
58.3,49
55.51,54
54.34,60
52.86,65
52.93,70
52.39,73
52.36,76
51.89,77
51.39,79
52.79,79
52.97,78
54.36,79
55.09,78
55.8,79
58.84,77
63.86,72
68.77,66
70.3,63
71.76,59
72.75,58
72.63,58
72.66,58
70.61,61
68.81,65
67.24,70
65.26,75
63.91,78
63.23,80
62.94,81
63.45,82
63.95,81
63.23,82
63.48,83
63.41,83
62.65,84
62.46,85
62.58,86
63.9,85
67.15,83
71.04,79
73.89,75
75.51,72
78.44,69
78.08,69
74.88,77
74.88,77
76.55,71
75.54,72
73.99,75
72.64,78
71.28,81
66.52,86
64.44,87
64.44,87
56.14,87
56.14,87
53.8,86
51.28,82
48.09,82
47.23,82
45.37,82
44.67,81
43.7,82
42.75,80
41.5,81
40.69,80
40.89,77
40.8,75
41.79,73
41.99,72
42.3,70
42.8,70
42.82,69
42.22,67
41.83,67
40.64,67
39.7,66
38.88,67
38.39,67
37.85,68
37.08,72
36.81,72
37.29,71
37.65,67
37.83,64
37.54,62
36.88,61
36.77,59
36.41,57
36.05,54
36.07,55
38.08,54
41.23,49
44.74,44
48.16,40
49.6,38
50.83,36
49.73,38
47.21,42
45.64,45
43.75,49
42.53,51
41.68,54
40.21,53
39.56,53
38.16,54
37.06,56
36.19,57
34.93,60
34.29,62
33.13,64
32.47,64
32.25,64
35.35,60
39.54,52
44.13,46
46.99,43
49.82,40
52.45,36
53.74,36
54.25,35
53.19,38
50.65,42
48.33,47
46.58,49
45.99,49
44.78,50
42.8,55
41.67,56
40.66,57
40.39,59
41.13,58
41.92,57
41.95,55
41.95,55
41.72,57
42.6,55
44.28,52
48.25,47
52.2,44
54.73,42
57.06,40
58.66,38
59.7,38
58.77,40
57.24,41
56.25,43
55.81,45
55.02,46
54.52,48
54.41,49
54.16,49
54.05,51
53.62,53
53.44,55
53.4,56
52.77,60
52.75,61
52.92,61
50.5,78
50.5,78
48.92,83
48.76,84
48.76,84
48.45,87
48.45,87
48.22,90
48.22,90
48.54,90
48.56,90
48.56,90
49.12,89
49.12,89
49.26,89
50.45,89
50.45,89
50.59,89
50.59,89
49.8,89
49.8,89
49.1,90
49.1,90
48.81,89
48.81,89
48.07,89
48.07,89
48.07,89
48.11,88
48.09,87
47.75,88
47.89,88
48.09,87
48.09,87
47.89,88
48.72,86
48.78,87
48.79,87
50.09,86
52.38,84
54.46,81
55.69,79
56.19,78
57.4,76
57.99,75
58.1,75
57.16,77
56.03,79
54.82,80
54.05,80
53.58,80
53.62,79
52.83,79
50.68,82
49.17,84
47.82,85
46.27,83
44.65,79
43.45,79
41.85,79
41.16,78
40.23,77
41.4,74
44.29,70
47.23,67
49.6,64
51.87,60
53.8,59
54.84,58
55.98,58
55.27,60
53.71,63
51.22,66
49.8,68
47.5,73
46.99,74
47.32,73
47.97,65
46.42,66
44.65,68
45.66,68
46.4,68
45.77,68
45.23,69
44.31,70
43.21,72
45.55,68
50.02,62
54.59,54
57.47,49
59.81,51
61.07,50
61.81,50
61.84,49
60.96,50
59.05,53
56.35,59
55,61
54.07,62
53.96,62
53.87,61
53.26,59
52.38,58
51.96,58
50.76,58
50.14,58
48.72,58
48.52,56
47.86,53
47.82,54
47.79,57
47.91,57
50.99,53
53.69,49
55.98,44
57.33,40
57.25,37
58.12,36
56.68,35
55.13,37
53.4,38
51.21,42
49.05,47
47.7,49
46.54,51
46.29,50
45.12,53
43.59,62
46.56,48
33.55,65
33.67,70
33.51,70
33.58,70
43.27,58
46.11,60
52.3,49
55.08,44
58.05,40
59.76,37
61.65,35
62.44,33
62.56,33
61.88,33
59.32,35
56.1,42
53.24,51
51.21,55
49.89,60
49.05,64
48.25,67
47.03,71
47.48,72
45.9,77
45.25,79
45.81,79
47.12,78
44.33,81
46.29,78
50.04,76
57.49,65
62.65,54
64.89,46
66.6,43
68.07,39
69.33,38
69.6,39
68.68,43
66.16,49
63.18,61
60.26,66
58.21,70
56.89,75
56.32,79
56.03,80
55.83,82
56.21,83
57.02,83
57.61,84
57.88,84
58.32,83
59.45,81
60.31,81
61.57,79
61.84,80
60.33,85
60.33,85
60.96,85
60.96,85
60.62,85
60.62,85
59.72,88
59.72,88
58.66,88
58.66,88
58.78,87
58.78,87
58.42,86
58.42,86
57.63,87
57.63,87
57.29,87
57.29,87
57.76,90
57.76,90
58.28,90
58.84,89
58.84,89
59.13,88
59.13,88
59.47,89
59.47,89
58.89,88
58.89,88
58.86,88
59.58,89
59.56,88
59.56,88
59.67,89
59.9,88
60.21,85
59.88,88
61.66,85
61.61,82
61.74,82
62.78,80
63.57,79
65.86,74
66.63,72
66.6,73
65.16,76
64.35,78
64.35,79
62.33,83
60.4,85
58.71,86
57.25,87
57,88
56.46,88
55.42,87
55.09,88
54.55,87
55.17,90
56.34,90
56.34,90
57.43,90
57.43,90
59.22,90
61.74,90
63.63,90
65.61,88
65.61,88
68.94,80
70.34,78
70.63,78
69.76,80
69.96,80
69.24,82
68.77,86
67.93,87
66.67,89
66.67,89
65.95,89
65.95,89
61.9,84
49.89,86
49.89,86
46.85,87
45.68,100
42.1,95
42.1,95
39.58,93
39.2,93
39.2,93
39.2,93
39.94,87
39.94,87
40.53,81
40.23,87
39.69,85
39.4,85
39.79,84
39.74,82
38.41,83
38.23,82
38.1,81
35.96,85
35.96,85
34.14,86
34.14,86
33.28,87
32.7,87
32.7,87
31.5,87
30.87,86
30.29,86
30.07,85
29.73,85
29.17,85
29.25,84
28.74,85
28.09,84
27.5,84
27.14,84
26.91,84
26.4,83
27.09,82
28,80
28.83,79
29.82,77
32.04,76
32.63,76
33.15,75
33.35,75
32.9,75
32.76,75
32.79,76
32.9,76
32.81,76
32.94,77
32.81,77
32.81,78
32.49,79
31.24,81
30.69,83
30.04,84
29.41,85
